1: Kareem Abdul-Jabbar
313: Hot Rod Hundley
314: Glenn Robinson
315: Norm Nixon
316: Byron Beck
317: Bradley Beal
318: Don Chaney
319: Caldwell Jones
320: Theo Ratliff
321: Charles Oakley
322: Kermit Washington
323: Lionel Hollins
324: Andrew Bogut
325: Clifford Robinson
326: Julius Keye
327: Jrue Holiday
328: Kentavious Caldwell-Pope
329: Wesley Matthews
330: Gordon Hayward
331: Wil Jones
332: Quinn Buckner
333: Jim Price
334: Al Jefferson
335: Lonnie Shelton
336: Phil Ford
337: Larry Cannon
338: John Starks
339: A.C. Green
340: Doug Christie
341: Ted McClain
342: Drazen Petrovic
343: Rod Strickland
344: Tayshaun Prince
345: Gerald Wallace
346: Serge Ibaka
347: Patrick Beverley
348: Jeff Teague
349: Brook Lopez
350: P.J. Brown
351: Dave Twardzik
352: Jim Eakins
353: Neil Johnson
354: Devin Harris
355: Chico Vaughn
356: Curtis Rowe
357: Otis Thorpe
358: Austin Carr
359: Larry Bunce
360: Ricky Pierce
361: Skip Thoren
362: Mo Williams
363: Alvan Adams
364: Lee Davis
365: Steve Mix
366: Dale Davis
367: Gerald Govan
368: Gene Moore
369: Nick Van Exel
370: Sleepy Floyd
371: Tom Meschery
372: Paul Pressey
373: Calvin Murphy
374: Monte Towe
375: Rik Smits
376: Hersey Hawkins
377: Mike Lewis
378: B.J. Armstrong
379: Randolph Mahaffey
380: John Block
381: Clyde Lee
382: Bill Bradley
383: Steve Johnson
384: Rickey Green
385: Mehmet Okur
386: George Carter
387: Len Chappell
388: Danny Ainge
389: Josh Howard
390: Claude Terry
391: Wally Szczerbiak
392: Mark Jackson
393: Adrian Smith
394: Joe Barry Carroll
395: Willie Somerset
396: Danny Granger
397: Bob Rule
398: Mahdi Abdul-Rahman
399: Chuck Noble
400: Butch Beard
401: Kenny Anderson
402: Christian Laettner
403: Jim McDaniels
404: Xavier McDaniel
405: Reggie Lewis
406: Darrall Imhoff
407: Bob Boozer
408: Bill Cartwright
409: James Foster
410: Vlade Divac
411: Doc Rivers
412: Ray Felix
413: Flynn Robinson
414: James Donaldson
415: Jamaal Magloire
416: Steve Smith
417: Chris Kaman
418: Mervin Jackson
